algorithm,pop_size,n_gen,cross_prob,mut_prob,sla_violations,overall_allocation_cost,overloaded_data_centers,norm_sla_violations,norm_overall_allocation_cost
nsgaii,300,400,1.0,0.1,12.0,75000.0,0,0.21052631578947367,0.0
nsgaii,300,600,1.0,0.9,30.0,86200.0,0,0.6842105263157895,0.5333333333333333
nsgaii,400,1100,1.0,0.4,16.0,80800.0,0,0.3157894736842105,0.2761904761904762
nsgaii,300,500,1.0,1.0,29.0,87500.0,0,0.6578947368421053,0.5952380952380952
nsgaii,400,100,1.0,0.6,31.0,87000.0,0,0.7105263157894737,0.5714285714285714
nsgaii,300,600,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
nsgaii,400,1400,1.0,0.7,23.0,83500.0,0,0.5,0.40476190476190477
nsgaii,300,900,1.0,0.0,8.0,75200.0,0,0.10526315789473684,0.009523809523809525
nsgaii,400,1200,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,300,1.0,0.8,41.0,84300.0,0,0.9736842105263158,0.44285714285714284
nsgaii,400,500,1.0,0.2,8.0,81500.0,0,0.10526315789473684,0.30952380952380953
nsgaii,400,1400,1.0,0.6,26.0,82300.0,0,0.5789473684210527,0.3476190476190476
nsgaii,400,300,1.0,0.3,21.0,80000.0,0,0.4473684210526316,0.23809523809523808
nsgaii,300,200,1.0,0.7,33.0,85900.0,0,0.7631578947368421,0.5190476190476191
nsgaii,400,300,1.0,0.9,20.0,93700.0,0,0.42105263157894735,0.8904761904761904
nsgaii,400,1500,1.0,0.8,16.0,89400.0,0,0.3157894736842105,0.6857142857142857
nsgaii,400,900,1.0,0.0,8.0,75000.0,0,0.10526315789473684,0.0
nsgaii,400,500,1.0,0.1,5.0,76100.0,0,0.02631578947368421,0.05238095238095238
nsgaii,300,1000,1.0,0.4,23.0,79300.0,0,0.5,0.20476190476190476
nsgaii,400,600,1.0,0.5,32.0,81300.0,0,0.7368421052631579,0.3
nsgaii,300,900,1.0,0.1,10.0,75100.0,0,0.15789473684210525,0.004761904761904762
